id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual
R00001,47,5,2,0,15,15,4,125456.68,6839.04
R00002,34,1,1,2,15,15,4,110103.44,5917.2
R00003,23,1,1,0,15,12,4,104012.06,4015.54
R00004,20,1,1,0,15,12,1,43845.53,6127.18
R00005,41,1,1,0,15,16,1,162880.57,54354.69
R00006,34,1,1,2,15,12,4,39722.24,12163.19
R00007,29,1,1,1,15,15,4,60996.61,9705.8
R00008,24,5,1,0,15,12,1,68338.92,5075.83
R00009,29,1,1,0,15,13,4,56455.38,9102.09
R00010,38,1,1,3,15,16,4,140371.45,26317.34
R00011,19,5,1,0,15,13,4,9148.06,1334.47
R00012,29,3,2,0,15,14,4,52843.9,7574.14
R00013,25,1,1,1,15,11,4,49171.68,3571
R00014,22,4,1,0,15,13,4,42006.61,8431.5
R00015,47,1,1,0,15,12,1,148145.61,33251.62
R00016,24,5,2,0,15,12,4,35022.15,8809.2
R00017,21,5,1,2,15,12,4,56123.23,15825.86
R00018,57,1,1,0,15,15,1,133358.56,15965.64
R00019,41,1,1,2,15,16,1,323903.26,17276.79
R00020,21,1,1,0,15,12,4,36223.73,7297.86
R00021,28,1,1,2,15,13,1,60935.67,6271.29
R00022,36,5,2,3,15,13,4,44874.95,5106.34
R00023,23,1,1,0,15,13,4,37287.3,2802.34
R00024,37,1,1,0,15,15,4,54133.53,2910.92
R00025,25,5,1,0,15,15,4,26196.33,658.74
R00026,22,3,2,0,15,12,4,37037.24,8681.07
R00027,31,1,1,0,15,15,1,69211.23,9261.23
R00028,27,5,1,0,15,13,4,63417.33,9510.57
R00029,29,5,1,0,15,15,4,70233.53,3829.01
R00030,44,1,1,0,15,14,4,60211.25,1851.37
R00031,56,1,1,0,15,16,1,326497.6,19936.17
R00032,32,1,1,2,15,14,1,87893.9,37018.9
R00033,25,1,2,1,15,13,4,105037.83,11421.14
R00034,46,1,1,1,15,15,1,200135.48,25873.08
R00035,52,1,1,0,15,16,1,125449.62,15287.67
R00036,37,5,2,0,15,13,4,45096.78,5509.64
R00037,28,1,1,1,15,13,1,101347.77,9002.61
R00038,47,1,1,0,15,16,4,88842.54,55382.2
R00039,43,3,1,2,15,14,1,119127.76,18420.86
R00040,22,5,1,0,15,15,4,28331.21,5993.97
R00041,33,1,1,0,15,15,4,315587.94,17063.12
R00042,27,5,1,0,15,15,4,70412.19,5675.44
R00043,27,1,1,0,15,13,4,54496.54,12568.34
R00044,29,1,1,0,15,14,1,100317.2,9353.76
R00045,23,5,1,0,15,12,4,24232.62,1401.37
R00046,22,1,1,0,15,12,4,38747.04,3346.03
R00047,22,1,1,0,15,14,4,51767.88,39769.49
